Name,Type,Background_Detailed,Background_Type,Hair_Detailed,Hair_Simple,Eyes_Detailed,Eyes_Simple,Headwear_Detailed,Headwear_Simple,Accessories,Training_Caption
lad_081_iggy2,Male,Pink #dacdbc,solid,"Grey #696a6e and RGB(44,40,55) #2c2837","Grey and RGB(44,40,55)","RGB(54,63,78) #363f4e","RGB(54,63,78)",,,,"24x24 pixel art portrait, background: Pink #dacdbc, hair: Grey #696a6e and RGB(44,40,55) #2c2837, eyes: RGB(54,63,78) #363f4e"
lad_086_Scooby,Male,"RGB(159,173,184) #9fadb8",solid,"RGB(159,173,184) #9fadb8 and Grey #745f56","RGB(159,173,184) and Grey",Teal #7aa4c5,Teal,,,,"24x24 pixel art portrait, background: RGB(159,173,184) #9fadb8, hair: RGB(159,173,184) #9fadb8 and Grey #745f56, eyes: Teal #7aa4c5"
lad_087_HEEM,Male,Pink #e4dcc7,solid,"RGB(82,77,73) #524d49 and RGB(119,77,55) #774d37","RGB(82,77,73) and RGB(119,77,55)","RGB(119,77,55) #774d37","RGB(119,77,55)",,,,"24x24 pixel art portrait, background: Pink #e4dcc7, hair: RGB(82,77,73) #524d49 and RGB(119,77,55) #774d37, eyes: RGB(119,77,55) #774d37"
lad_088_Kareem,Male,"RGB(62,62,62) #3e3e3e",solid,"RGB(40,40,40) #282828 and RGB(62,62,62) #3e3e3e","RGB(40,40,40) and RGB(62,62,62)",Grey #686868,Grey,,,,"24x24 pixel art portrait, background: RGB(62,62,62) #3e3e3e, hair: RGB(40,40,40) #282828 and RGB(62,62,62) #3e3e3e, eyes: Grey #686868"
lad_089_aguda,Male,"RGB(31,31,31) #1f1f1f",solid,"RGB(31,31,31) #1f1f1f and Black #0e0e0e","RGB(31,31,31) and Black","RGB(53,53,53) #353535","RGB(53,53,53)",,,,"24x24 pixel art portrait, background: RGB(31,31,31) #1f1f1f, hair: RGB(31,31,31) #1f1f1f and Black #0e0e0e, eyes: RGB(53,53,53) #353535"
lad_090_drscott,Male,Orange #d97c4c,solid,Orange #d97c4c and Beige #db996a,Orange and Beige,"RGB(108,112,65) #6c7041","RGB(108,112,65)",,,,"24x24 pixel art portrait, background: Orange #d97c4c, hair: Orange #d97c4c and Beige #db996a, eyes: RGB(108,112,65) #6c7041"
lad_091_amit,Male,White #eff4fa,solid,Teal #3a7499 and Teal #84b0cb,Teal and Teal,Grey #946e83,Grey,White chef hat #FFFFFF,White chef hat,,"24x24 pixel art portrait, background: White #eff4fa, hair: Teal #3a7499 and Teal #84b0cb, eyes: Grey #946e83, wearing White chef hat #FFFFFF"
lad_092_derrick,Male,Lavender #beceda,solid,Lavender #beceda and Beige #d6ac80,Lavender and Beige,"RGB(47,92,97) #2f5c61","RGB(47,92,97)",,,,"24x24 pixel art portrait, background: Lavender #beceda, hair: Lavender #beceda and Beige #d6ac80, eyes: RGB(47,92,97) #2f5c61"
lad_093_photogee,Male,"RGB(55,55,55) #373737",solid,"RGB(55,55,55) #373737 and RGB(34,34,34) #222222","RGB(55,55,55) and RGB(34,34,34)","RGB(72,72,72) #484848","RGB(72,72,72)",,,,"24x24 pixel art portrait, background: RGB(55,55,55) #373737, hair: RGB(55,55,55) #373737 and RGB(34,34,34) #222222, eyes: RGB(72,72,72) #484848"
lad_094_storm,Male,Teal #5bc8dd,solid,"Teal #5bc8dd and RGB(53,27,28) #351b1c","Teal and RGB(53,27,28)",Burgundy #ab582e,Burgundy,,,,"24x24 pixel art portrait, background: Teal #5bc8dd, hair: Teal #5bc8dd and RGB(53,27,28) #351b1c, eyes: Burgundy #ab582e"
lad_095_godfather,Male,"RGB(82,80,92) #52505c",solid,"RGB(82,80,92) #52505c and RGB(41,23,20) #291714","RGB(82,80,92) and RGB(41,23,20)","RGB(108,73,67) #6c4943","RGB(108,73,67)",,,,"24x24 pixel art portrait, background: RGB(82,80,92) #52505c, hair: RGB(82,80,92) #52505c and RGB(41,23,20) #291714, eyes: RGB(108,73,67) #6c4943"
lad_096_apollo,Male,Teal #86bddb,solid,Teal #86bddb and Black #0b0b09,Teal and Black,"RGB(167,100,73) #a76449","RGB(167,100,73)",,,,"24x24 pixel art portrait, background: Teal #86bddb, hair: Teal #86bddb and Black #0b0b09, eyes: RGB(167,100,73) #a76449"
lad_097_drralph,Male,White #ffffff,solid,"RGB(71,43,42) #472b2a and RGB(51,26,29) #331a1d","RGB(71,43,42) and RGB(51,26,29)",Grey #657075,Grey,White chef hat #FFFFFF,White chef hat,,"24x24 pixel art portrait, background: White #ffffff, hair: RGB(71,43,42) #472b2a and RGB(51,26,29) #331a1d, eyes: Grey #657075, wearing White chef hat #FFFFFF"
lad_098_Murtaza,Male,Grey #70948a,solid,"Grey #70948a and RGB(176,129,121) #b08179","Grey and RGB(176,129,121)","RGB(176,129,121) #b08179","RGB(176,129,121)",,,,"24x24 pixel art portrait, background: Grey #70948a, hair: Grey #70948a and RGB(176,129,121) #b08179, eyes: RGB(176,129,121) #b08179"
lad_099_amenshiller,Male,"RGB(179,176,176) #b3b0b0",solid,"RGB(179,176,176) #b3b0b0 and RGB(40,30,31) #281e1f","RGB(179,176,176) and RGB(40,30,31)","RGB(141,87,61) #8d573d","RGB(141,87,61)",,,,"24x24 pixel art portrait, background: RGB(179,176,176) #b3b0b0, hair: RGB(179,176,176) #b3b0b0 and RGB(40,30,31) #281e1f, eyes: RGB(141,87,61) #8d573d"
lad_102_bunya,Male,"RGB(29,39,64) #1d2740",solid,"RGB(29,39,64) #1d2740 and RGB(114,88,55) #725837","RGB(29,39,64) and RGB(114,88,55)",Grey #6e9093,Grey,,,,"24x24 pixel art portrait, background: RGB(29,39,64) #1d2740, hair: RGB(29,39,64) #1d2740 and RGB(114,88,55) #725837, eyes: Grey #6e9093"
lad_102_bunya2,Male,"RGB(150,156,158) #969c9e",solid,"RGB(150,156,158) #969c9e and RGB(114,88,55) #725837","RGB(150,156,158) and RGB(114,88,55)",Grey #6e9093,Grey,,,,"24x24 pixel art portrait, background: RGB(150,156,158) #969c9e, hair: RGB(150,156,158) #969c9e and RGB(114,88,55) #725837, eyes: Grey #6e9093"
lad_102_bunya3,Male,"RGB(29,39,64) #1d2740",solid,"RGB(29,39,64) #1d2740 and RGB(114,88,55) #725837","RGB(29,39,64) and RGB(114,88,55)","RGB(156,152,153) #9c9899","RGB(156,152,153)",,,,"24x24 pixel art portrait, background: RGB(29,39,64) #1d2740, hair: RGB(29,39,64) #1d2740 and RGB(114,88,55) #725837, eyes: RGB(156,152,153) #9c9899"
lad_103_merheb,Male,White #ebe6ea,solid,"RGB(163,115,93) #a3735d and RGB(57,50,44) #39322c","RGB(163,115,93) and RGB(57,50,44)","RGB(60,50,41) #3c3229","RGB(60,50,41)",White chef hat #FFFFFF,White chef hat,,"24x24 pixel art portrait, background: White #ebe6ea, hair: RGB(163,115,93) #a3735d and RGB(57,50,44) #39322c, eyes: RGB(60,50,41) #3c3229, wearing White chef hat #FFFFFF"
lad_103_merheb2,Male,Blue #0083ef,solid,"Blue #0083ef and RGB(163,115,93) #a3735d","Blue and RGB(163,115,93)","RGB(60,50,41) #3c3229","RGB(60,50,41)",,,,"24x24 pixel art portrait, background: Blue #0083ef, hair: Blue #0083ef and RGB(163,115,93) #a3735d, eyes: RGB(60,50,41) #3c3229"
lad_74_lc,Male,"RGB(179,179,179) #b3b3b3",solid,"RGB(35,35,35) #232323 and RGB(179,179,179) #b3b3b3","RGB(35,35,35) and RGB(179,179,179)","RGB(79,79,79) #4f4f4f","RGB(79,79,79)",,,,"24x24 pixel art portrait, background: RGB(179,179,179) #b3b3b3, hair: RGB(35,35,35) #232323 and RGB(179,179,179) #b3b3b3, eyes: RGB(79,79,79) #4f4f4f"
lady_000_lemon,Female,Yellow #f8e701,solid,"Yellow #f8e701 and RGB(53,35,25) #352319","Yellow and RGB(53,35,25)",Teal #919abd,Teal,,,,"24x24 pixel art portrait, background: Yellow #f8e701, hair: Yellow #f8e701 and RGB(53,35,25) #352319, eyes: Teal #919abd"
lady_001_hazelnut,Female,"RGB(29,74,70) #1d4a46",solid,"RGB(29,74,70) #1d4a46 and RGB(53,35,25) #352319","RGB(29,74,70) and RGB(53,35,25)","RGB(53,35,25) #352319","RGB(53,35,25)",,,,"24x24 pixel art portrait, background: RGB(29,74,70) #1d4a46, hair: RGB(29,74,70) #1d4a46 and RGB(53,35,25) #352319, eyes: RGB(53,35,25) #352319"
lady_002_vanilla,Female,Lavender #c3d4ef,solid,Lavender #c3d4ef and Beige #ba9b6d,Lavender and Beige,Grey #6e7b6a,Grey,,,,"24x24 pixel art portrait, background: Lavender #c3d4ef, hair: Lavender #c3d4ef and Beige #ba9b6d, eyes: Grey #6e7b6a"
lady_003_cashew,Female,Grey #888b82,solid,Grey #888b82 and Black #181311,Grey and Black,"RGB(142,73,50) #8e4932","RGB(142,73,50)",,,,"24x24 pixel art portrait, background: Grey #888b82, hair: Grey #888b82 and Black #181311, eyes: RGB(142,73,50) #8e4932"
lady_004_nutmeg,Female,Pink #ffc8a0,solid,"RGB(41,22,28) #29161c and RGB(122,87,78) #7a574e","RGB(41,22,28) and RGB(122,87,78)","RGB(122,87,78) #7a574e","RGB(122,87,78)",,,,"24x24 pixel art portrait, background: Pink #ffc8a0, hair: RGB(41,22,28) #29161c and RGB(122,87,78) #7a574e, eyes: RGB(122,87,78) #7a574e"
lady_005_cinnamon,Female,"RGB(69,49,40) #453128",solid,"RGB(69,49,40) #453128 and RGB(190,126,88) #be7e58","RGB(69,49,40) and RGB(190,126,88)","RGB(190,126,88) #be7e58","RGB(190,126,88)",,,,"24x24 pixel art portrait, background: RGB(69,49,40) #453128, hair: RGB(69,49,40) #453128 and RGB(190,126,88) #be7e58, eyes: RGB(190,126,88) #be7e58"
lady_006_pepper,Female,Black #000000 to White #ffffff,pattern,Black #000000,Black,Beige #afd291,Beige,White chef hat #FFFFFF,White chef hat,,"24x24 pixel art portrait, background: Black #000000 to White #ffffff, hair: Black #000000, eyes: Beige #afd291, wearing White chef hat #FFFFFF"
lady_007_alloy,Female,"RGB(29,10,55) #1d0a37",solid,"RGB(29,10,55) #1d0a37 and Burgundy #a85420","RGB(29,10,55) and Burgundy",Burgundy #a85420,Burgundy,,,,"24x24 pixel art portrait, background: RGB(29,10,55) #1d0a37, hair: RGB(29,10,55) #1d0a37 and Burgundy #a85420, eyes: Burgundy #a85420"
lady_008_pinksilk,Female,Pink #ed98bf,solid,"RGB(53,35,25) #352319 and RGB(82,54,40) #523628","RGB(53,35,25) and RGB(82,54,40)","RGB(53,35,25) #352319","RGB(53,35,25)",,,,"24x24 pixel art portrait, background: Pink #ed98bf, hair: RGB(53,35,25) #352319 and RGB(82,54,40) #523628, eyes: RGB(53,35,25) #352319"
lady_009_bluesilk,Female,Teal #94d6d0,solid,"Teal #94d6d0 and RGB(53,35,25) #352319","Teal and RGB(53,35,25)","RGB(53,35,25) #352319","RGB(53,35,25)",,,,"24x24 pixel art portrait, background: Teal #94d6d0, hair: Teal #94d6d0 and RGB(53,35,25) #352319, eyes: RGB(53,35,25) #352319"
lady_010_saffron,Female,"RGB(18,40,28) #12281c",solid,"RGB(18,40,28) #12281c and Beige #b69e7a","RGB(18,40,28) and Beige",Brown #997f4e,Brown,,,,"24x24 pixel art portrait, background: RGB(18,40,28) #12281c, hair: RGB(18,40,28) #12281c and Beige #b69e7a, eyes: Brown #997f4e"
lady_011_sage,Female,Teal #6b92a6,solid,"Teal #6b92a6 and RGB(54,32,13) #36200d","Teal and RGB(54,32,13)","RGB(54,32,13) #36200d","RGB(54,32,13)",,,,"24x24 pixel art portrait, background: Teal #6b92a6, hair: Teal #6b92a6 and RGB(54,32,13) #36200d, eyes: RGB(54,32,13) #36200d"
lady_012_parasite,Female,"Teal #37dff9 to RGB(4,15,97) #040f61",pattern,Teal #37dff9 and Black #020107,Teal and Black,"RGB(159,200,255) #9fc8ff","RGB(159,200,255)",,,,"24x24 pixel art portrait, background: Teal #37dff9 to RGB(4,15,97) #040f61, hair: Teal #37dff9 and Black #020107, eyes: RGB(159,200,255) #9fc8ff"
lady_013_rosemary,Female,Pink #e9aa9b to Teal #949bd2,pattern,"RGB(169,177,223) #a9b1df and Teal #949bd2","RGB(169,177,223) and Teal","RGB(67,43,27) #432b1b","RGB(67,43,27)",,,,"24x24 pixel art portrait, background: Pink #e9aa9b to Teal #949bd2, hair: RGB(169,177,223) #a9b1df and Teal #949bd2, eyes: RGB(67,43,27) #432b1b"
lady_014_olive,Female,"RGB(31,0,59) #1f003b",solid,"RGB(31,0,59) #1f003b and Beige #b69e7a","RGB(31,0,59) and Beige","RGB(55,26,10) #371a0a","RGB(55,26,10)",,,,"24x24 pixel art portrait, background: RGB(31,0,59) #1f003b, hair: RGB(31,0,59) #1f003b and Beige #b69e7a, eyes: RGB(55,26,10) #371a0a"
lady_015_lime,Female,Brown #b6df19,solid,Brown #b6df19 and Black #181311,Brown and Black,"RGB(172,123,127) #ac7b7f","RGB(172,123,127)",,,,"24x24 pixel art portrait, background: Brown #b6df19, hair: Brown #b6df19 and Black #181311, eyes: RGB(172,123,127) #ac7b7f"
lady_016_honey,Female,Orange #db9f5e to Beige #f7c978,pattern,Beige #f7c978 and Orange #db9f5e,Beige and Orange,"RGB(62,31,19) #3e1f13","RGB(62,31,19)",,,,"24x24 pixel art portrait, background: Orange #db9f5e to Beige #f7c978, hair: Beige #f7c978 and Orange #db9f5e, eyes: RGB(62,31,19) #3e1f13"
lady_017_pine,Female,Beige #b8c37f,solid,"Beige #b8c37f and RGB(34,17,17) #221111","Beige and RGB(34,17,17)",Burgundy #7f402b,Burgundy,,,,"24x24 pixel art portrait, background: Beige #b8c37f, hair: Beige #b8c37f and RGB(34,17,17) #221111, eyes: Burgundy #7f402b"
lady_018_strawberry,Female,"RGB(44,95,52) #2c5f34",solid,"RGB(44,95,52) #2c5f34 and RGB(147,34,30) #93221e","RGB(44,95,52) and RGB(147,34,30)","RGB(147,34,30) #93221e","RGB(147,34,30)",,,,"24x24 pixel art portrait, background: RGB(44,95,52) #2c5f34, hair: RGB(44,95,52) #2c5f34 and RGB(147,34,30) #93221e, eyes: RGB(147,34,30) #93221e"
lady_019_banana,Female,Blue #566ee8,solid,"RGB(96,178,142) #60b28e and Blue #566ee8","RGB(96,178,142) and Blue","RGB(110,81,74) #6e514a","RGB(110,81,74)",,,,"24x24 pixel art portrait, background: Blue #566ee8, hair: RGB(96,178,142) #60b28e and Blue #566ee8, eyes: RGB(110,81,74) #6e514a"
lady_020_blood,Female,Red #d70051 to Pink #ff829f,pattern,Pink #ff829f and Red #d70051,Pink and Red,"RGB(173,124,94) #ad7c5e","RGB(173,124,94)",,,,"24x24 pixel art portrait, background: Red #d70051 to Pink #ff829f, hair: Pink #ff829f and Red #d70051, eyes: RGB(173,124,94) #ad7c5e"
lady_021_diamond,Female,White #e6fffd,solid,"RGB(66,43,38) #422b26","RGB(66,43,38)","RGB(82,39,22) #522716","RGB(82,39,22)",White chef hat #FFFFFF,White chef hat,,"24x24 pixel art portrait, background: White #e6fffd, hair: RGB(66,43,38) #422b26, eyes: RGB(82,39,22) #522716, wearing White chef hat #FFFFFF"
lady_022_gold,Female,"RGB(77,77,77) #4d4d4d",solid,"RGB(77,77,77) #4d4d4d and RGB(53,35,25) #352319","RGB(77,77,77) and RGB(53,35,25)","RGB(53,35,25) #352319","RGB(53,35,25)",,,,"24x24 pixel art portrait, background: RGB(77,77,77) #4d4d4d, hair: RGB(77,77,77) #4d4d4d and RGB(53,35,25) #352319, eyes: RGB(53,35,25) #352319"
lady_023_silver,Female,Pink #d7d7d7 to White #e3effc,pattern,"RGB(53,35,25) #352319","RGB(53,35,25)","RGB(53,35,25) #352319","RGB(53,35,25)",White chef hat #FFFFFF,White chef hat,,"24x24 pixel art portrait, background: Pink #d7d7d7 to White #e3effc, hair: RGB(53,35,25) #352319, eyes: RGB(53,35,25) #352319, wearing White chef hat #FFFFFF"
lady_024_linen,Female,Teal #94d6d0,solid,"Teal #94d6d0 and RGB(82,54,40) #523628","Teal and RGB(82,54,40)","RGB(53,35,25) #352319","RGB(53,35,25)",,,,"24x24 pixel art portrait, background: Teal #94d6d0, hair: Teal #94d6d0 and RGB(82,54,40) #523628, eyes: RGB(53,35,25) #352319"
lady_025_mistletoe,Female,"RGB(0,12,85) #000c55",solid,"RGB(0,12,85) #000c55 and RGB(82,54,40) #523628","RGB(0,12,85) and RGB(82,54,40)","RGB(53,35,25) #352319","RGB(53,35,25)",,,,"24x24 pixel art portrait, background: RGB(0,12,85) #000c55, hair: RGB(0,12,85) #000c55 and RGB(82,54,40) #523628, eyes: RGB(53,35,25) #352319"
lady_026_fur,Female,Blue #0153fd,solid,"Blue #0153fd and RGB(127,78,61) #7f4e3d","Blue and RGB(127,78,61)","RGB(54,49,53) #363135","RGB(54,49,53)",,,,"24x24 pixel art portrait, background: Blue #0153fd, hair: Blue #0153fd and RGB(127,78,61) #7f4e3d, eyes: RGB(54,49,53) #363135"
lady_027_nitrogen,Female,Blue #4682f8 to Teal #5399f8,pattern,Blue #4682f8 and Black #000000,Blue and Black,"RGB(98,62,44) #623e2c","RGB(98,62,44)",Blue cap #4682f8,Blue cap,,"24x24 pixel art portrait, background: Blue #4682f8 to Teal #5399f8, hair: Blue #4682f8 and Black #000000, eyes: RGB(98,62,44) #623e2c, wearing Blue cap #4682f8"
lady_028_marshmallow,Female,Pink #ffc7d4,solid,"RGB(46,41,40) #2e2928 and RGB(56,56,57) #383839","RGB(46,41,40) and RGB(56,56,57)","RGB(66,66,68) #424244","RGB(66,66,68)",,,,"24x24 pixel art portrait, background: Pink #ffc7d4, hair: RGB(46,41,40) #2e2928 and RGB(56,56,57) #383839, eyes: RGB(66,66,68) #424244"
lady_029_basil,Female,"Green #62a233 to RGB(44,98,26) #2c621a",pattern,"RGB(44,98,26) #2c621a and Green #62a233","RGB(44,98,26) and Green","RGB(87,53,48) #573530","RGB(87,53,48)",,,,"24x24 pixel art portrait, background: Green #62a233 to RGB(44,98,26) #2c621a, hair: RGB(44,98,26) #2c621a and Green #62a233, eyes: RGB(87,53,48) #573530"
lady_030_grass,Female,Orange #ff8c61 to Beige #ffcf72 to Pink #ffe7cd,pattern,"RGB(88,68,53) #584435 and RGB(58,52,44) #3a342c","RGB(88,68,53) and RGB(58,52,44)","RGB(129,117,80) #817550","RGB(129,117,80)",White chef hat #FFFFFF,White chef hat,,"24x24 pixel art portrait, background: Orange #ff8c61 to Beige #ffcf72 to Pink #ffe7cd, hair: RGB(88,68,53) #584435 and RGB(58,52,44) #3a342c, eyes: RGB(129,117,80) #817550, wearing White chef hat #FFFFFF"
lady_031_paprika,Female,White #ffffff,solid,"RGB(60,20,14) #3c140e and RGB(133,50,46) #85322e","RGB(60,20,14) and RGB(133,50,46)","RGB(79,65,66) #4f4142","RGB(79,65,66)",White chef hat #FFFFFF,White chef hat,,"24x24 pixel art portrait, background: White #ffffff, hair: RGB(60,20,14) #3c140e and RGB(133,50,46) #85322e, eyes: RGB(79,65,66) #4f4142, wearing White chef hat #FFFFFF"
lady_032_salt,Female,"RGB(166,17,20) #a61114",solid,"RGB(166,17,20) #a61114 and RGB(192,173,166) #c0ada6","RGB(166,17,20) and RGB(192,173,166)","RGB(77,53,47) #4d352f","RGB(77,53,47)",,,,"24x24 pixel art portrait, background: RGB(166,17,20) #a61114, hair: RGB(166,17,20) #a61114 and RGB(192,173,166) #c0ada6, eyes: RGB(77,53,47) #4d352f"
lady_033_staranise,Female,Pink #ffd7d7,solid,"Grey #8d6058 and RGB(167,128,111) #a7806f","Grey and RGB(167,128,111)","RGB(58,38,38) #3a2626","RGB(58,38,38)",White chef hat #FFFFFF,White chef hat,,"24x24 pixel art portrait, background: Pink #ffd7d7, hair: Grey #8d6058 and RGB(167,128,111) #a7806f, eyes: RGB(58,38,38) #3a2626, wearing White chef hat #FFFFFF"
lady_034_lavender,Female,Pink #d7c3c1 to Pink #f9e4c5,pattern,"RGB(40,20,13) #28140d","RGB(40,20,13)","RGB(90,49,37) #5a3125","RGB(90,49,37)",,,,"24x24 pixel art portrait, background: Pink #d7c3c1 to Pink #f9e4c5, hair: RGB(40,20,13) #28140d, eyes: RGB(90,49,37) #5a3125"
lady_035_turmeric,Female,Pink #ffc5b3,solid,Teal #4f7e9f and Teal #7295a1,Teal and Teal,"RGB(90,49,37) #5a3125","RGB(90,49,37)",,,,"24x24 pixel art portrait, background: Pink #ffc5b3, hair: Teal #4f7e9f and Teal #7295a1, eyes: RGB(90,49,37) #5a3125"
lady_036_boisenberry,Female,"RGB(72,7,69) #480745",solid,"RGB(72,7,69) #480745 and RGB(134,40,41) #862829","RGB(72,7,69) and RGB(134,40,41)","RGB(147,34,30) #93221e","RGB(147,34,30)",,,,"24x24 pixel art portrait, background: RGB(72,7,69) #480745, hair: RGB(72,7,69) #480745 and RGB(134,40,41) #862829, eyes: RGB(147,34,30) #93221e"
lady_037_rose,Female,Beige #ea9d95,solid,"RGB(49,41,30) #31291e and RGB(67,53,42) #43352a","RGB(49,41,30) and RGB(67,53,42)","RGB(94,70,53) #5e4635","RGB(94,70,53)",,,,"24x24 pixel art portrait, background: Beige #ea9d95, hair: RGB(49,41,30) #31291e and RGB(67,53,42) #43352a, eyes: RGB(94,70,53) #5e4635"
lady_038_peanut,Female,Lavender #bae4f4,solid,"Lavender #bae4f4 and RGB(53,54,49) #353631","Lavender and RGB(53,54,49)","RGB(129,70,59) #81463b","RGB(129,70,59)",,,,"24x24 pixel art portrait, background: Lavender #bae4f4, hair: Lavender #bae4f4 and RGB(53,54,49) #353631, eyes: RGB(129,70,59) #81463b"
lady_039_sandalwood,Female,Pink #dcb3ff,solid,"RGB(134,40,41) #862829 and RGB(115,35,38) #732326","RGB(134,40,41) and RGB(115,35,38)","RGB(90,17,86) #5a1156","RGB(90,17,86)",,,,"24x24 pixel art portrait, background: Pink #dcb3ff, hair: RGB(134,40,41) #862829 and RGB(115,35,38) #732326, eyes: RGB(90,17,86) #5a1156"
lady_040_fivespice,Female,Beige #fcfe66,solid,"Beige #fcfe66 and RGB(37,30,27) #251e1b","Beige and RGB(37,30,27)","RGB(94,29,29) #5e1d1d","RGB(94,29,29)",,,,"24x24 pixel art portrait, background: Beige #fcfe66, hair: Beige #fcfe66 and RGB(37,30,27) #251e1b, eyes: RGB(94,29,29) #5e1d1d"
lady_041_bayleaf,Female,Teal #6b93bb,solid,"Teal #6b93bb and RGB(134,40,41) #862829","Teal and RGB(134,40,41)","RGB(147,34,30) #93221e","RGB(147,34,30)",,,,"24x24 pixel art portrait, background: Teal #6b93bb, hair: Teal #6b93bb and RGB(134,40,41) #862829, eyes: RGB(147,34,30) #93221e"
lady_042_almond,Female,Pink #f7c2bc,solid,"RGB(67,53,42) #43352a and RGB(61,47,38) #3d2f26","RGB(67,53,42) and RGB(61,47,38)","RGB(94,70,53) #5e4635","RGB(94,70,53)",,,,"24x24 pixel art portrait, background: Pink #f7c2bc, hair: RGB(67,53,42) #43352a and RGB(61,47,38) #3d2f26, eyes: RGB(94,70,53) #5e4635"
lady_043_orange,Female,"RGB(149,0,88) #950058 to RGB(5,219,115) #05db73",pattern,"RGB(149,0,88) #950058 and Orange #f4b315","RGB(149,0,88) and Orange",Grey #84625d,Grey,,,,"24x24 pixel art portrait, background: RGB(149,0,88) #950058 to RGB(5,219,115) #05db73, hair: RGB(149,0,88) #950058 and Orange #f4b315, eyes: Grey #84625d"
lady_044_x,Female,"RGB(53,221,136) #35dd88 to Teal #3ffe9e",pattern,"Teal #3ffe9e and RGB(53,221,136) #35dd88","Teal and RGB(53,221,136)",Grey #546368,Grey,,,,"24x24 pixel art portrait, background: RGB(53,221,136) #35dd88 to Teal #3ffe9e, hair: Teal #3ffe9e and RGB(53,221,136) #35dd88, eyes: Grey #546368"
lady_045_x,Female,"RGB(53,221,136) #35dd88 to Teal #3ffe9e",pattern,"Teal #3ffe9e and RGB(53,221,136) #35dd88","Teal and RGB(53,221,136)",Burgundy #975927,Burgundy,,,,"24x24 pixel art portrait, background: RGB(53,221,136) #35dd88 to Teal #3ffe9e, hair: Teal #3ffe9e and RGB(53,221,136) #35dd88, eyes: Burgundy #975927"
lady_046_x,Female,"RGB(0,221,115) #00dd73 to RGB(53,221,136) #35dd88 to Teal #3ffe9e",pattern,"Teal #3ffe9e and RGB(53,221,136) #35dd88","Teal and RGB(53,221,136)","RGB(59,47,35) #3b2f23","RGB(59,47,35)",,,,"24x24 pixel art portrait, background: RGB(0,221,115) #00dd73 to RGB(53,221,136) #35dd88 to Teal #3ffe9e, hair: Teal #3ffe9e and RGB(53,221,136) #35dd88, eyes: RGB(59,47,35) #3b2f23"
lady_047_x,Female,"RGB(53,221,136) #35dd88",solid,"RGB(53,221,136) #35dd88 and Beige #bfa389","RGB(53,221,136) and Beige","RGB(169,144,124) #a9907c","RGB(169,144,124)",,,,"24x24 pixel art portrait, background: RGB(53,221,136) #35dd88, hair: RGB(53,221,136) #35dd88 and Beige #bfa389, eyes: RGB(169,144,124) #a9907c"
lady_048_pink,Female,Purple #e50bb4,solid,Purple #e50bb4 and Black #0d0d09,Purple and Black,Purple #b450ca,Purple,,,,"24x24 pixel art portrait, background: Purple #e50bb4, hair: Purple #e50bb4 and Black #0d0d09, eyes: Purple #b450ca"
lady_049_abstractangels,Female,"RGB(165,255,155) #a5ff9b to RGB(15,206,111) #0fce6f",pattern,"RGB(15,206,111) #0fce6f and RGB(36,215,113) #24d771","RGB(15,206,111) and RGB(36,215,113)",Teal #8877ae,Teal,,,,"24x24 pixel art portrait, background: RGB(165,255,155) #a5ff9b to RGB(15,206,111) #0fce6f, hair: RGB(15,206,111) #0fce6f and RGB(36,215,113) #24d771, eyes: Teal #8877ae"
lady_050_x-6,Female,"RGB(112,235,128) #70eb80 to RGB(196,110,171) #c46eab",gradient,"RGB(52,56,57) #343839 and RGB(62,63,58) #3e3f3a","RGB(52,56,57) and RGB(62,63,58)","RGB(62,46,33) #3e2e21","RGB(62,46,33)",,,,"24x24 pixel art portrait, background: RGB(112,235,128) #70eb80 to RGB(196,110,171) #c46eab, hair: RGB(52,56,57) #343839 and RGB(62,63,58) #3e3f3a, eyes: RGB(62,46,33) #3e2e21"
lady_051_rosieabstract,Female,"RGB(53,221,136) #35dd88 to Teal #3ffe9e",pattern,"RGB(53,221,136) #35dd88 and Teal #3ffe9e","RGB(53,221,136) and Teal",Teal #919abd,Teal,,,,"24x24 pixel art portrait, background: RGB(53,221,136) #35dd88 to Teal #3ffe9e, hair: RGB(53,221,136) #35dd88 and Teal #3ffe9e, eyes: Teal #919abd"
lady_052_pinksilkabstract,Female,"Beige #ffcd6c to RGB(186,109,223) #ba6ddf",gradient,"RGB(53,35,25) #352319 and RGB(82,54,40) #523628","RGB(53,35,25) and RGB(82,54,40)","RGB(53,35,25) #352319","RGB(53,35,25)",,,,"24x24 pixel art portrait, background: Beige #ffcd6c to RGB(186,109,223) #ba6ddf, hair: RGB(53,35,25) #352319 and RGB(82,54,40) #523628, eyes: RGB(53,35,25) #352319"
lady_053_pepperabstract,Female,"RGB(78,234,109) #4eea6d to Black #000000",pattern,"Black #000000 and RGB(78,234,109) #4eea6d","Black and RGB(78,234,109)",Beige #afd291,Beige,,,,"24x24 pixel art portrait, background: RGB(78,234,109) #4eea6d to Black #000000, hair: Black #000000 and RGB(78,234,109) #4eea6d, eyes: Beige #afd291"
